Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: mfeat-karhunen 
Loaded 400 indices for fold 1 from: results/instances/original/vectors/mfeat-karhunen_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 100 %
Loading training noise data from: results/noise_injection/by_dataset/mfeat-karhunen_att1_noise0.1.csv 
Altering 1600 out of 1600 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
    40        0.4860            -nan     0.1000    0.0119
    60        0.3269            -nan     0.1000    0.0084
    80        0.2282            -nan     0.1000   -0.0004
   100        0.1685            -nan     0.1000    0.0003
   120        0.1287            -nan     0.1000    0.0001
   140        0.0983            -nan     0.1000   -0.0007
   150        0.0875            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7262
     2        1.8603            -nan     0.1000    0.3684
     3        1.6291            -nan     0.1000    0.2857
     4        1.4514            -nan     0.1000    0.2428
     5        1.3039            -nan     0.1000    0.1858
     6        1.1876            -nan     0.1000    0.1460
     7        1.0914            -nan     0.1000    0.1232
     8        1.0100            -nan     0.1000    0.0956
     9        0.9433            -nan     0.1000    0.0952
    10        0.8771            -nan     0.1000    0.0928
    20        0.5013            -nan     0.1000    0.0174
    40        0.2300            -nan     0.1000    0.0052
    60        0.1253            -nan     0.1000    0.0025
    80        0.0724            -nan     0.1000    0.0015
   100        0.0453            -nan     0.1000    0.0000
   120        0.0290            -nan     0.1000    0.0003
   140        0.0189            -nan     0.1000    0.0002
   150        0.0155            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.8639
     2        1.7666            -nan     0.1000    0.4358
     3        1.5012            -nan     0.1000    0.2969
     4        1.3137            -nan     0.1000    0.2352
     5        1.1661            -nan     0.1000    0.1891
     6        1.0455            -nan     0.1000    0.1578
     7        0.9440            -nan     0.1000    0.1349
     8        0.8586            -nan     0.1000    0.1063
     9        0.7838            -nan     0.1000    0.0885
    10        0.7246            -nan     0.1000    0.0824
    20        0.3714            -nan     0.1000    0.0291
    40        0.1354            -nan     0.1000    0.0034
    60        0.0608            -nan     0.1000    0.0008
    80        0.0312            -nan     0.1000    0.0004
   100        0.0162            -nan     0.1000    0.0004
   120        0.0088            -nan     0.1000    0.0000
   140        0.0048            -nan     0.1000    0.0001
   150        0.0036            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.4091
     2        2.0561            -nan     0.1000    0.2793
     3        1.8801            -nan     0.1000    0.1908
     4        1.7554            -nan     0.1000    0.1821
     5        1.6452            -nan     0.1000    0.1387
     6        1.5563            -nan     0.1000    0.0943
     7        1.4919            -nan     0.1000    0.1105
     8        1.4191            -nan     0.1000    0.1139
     9        1.3439            -nan     0.1000    0.0965
    10        1.2813            -nan     0.1000    0.0749
    20        0.8797            -nan     0.1000    0.0324
    40        0.5112            -nan     0.1000    0.0122
    60        0.3394            -nan     0.1000    0.0044
    80        0.2414            -nan     0.1000   -0.0003
   100        0.1782            -nan     0.1000    0.0001
   120        0.1365            -nan     0.1000    0.0008
   140        0.1060            -nan     0.1000   -0.0001
   150        0.0933            -nan     0.1000   -0.0004

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7303
     2        1.8565            -nan     0.1000    0.3601
     3        1.6327            -nan     0.1000    0.2736
     4        1.4595            -nan     0.1000    0.1982
     5        1.3251            -nan     0.1000    0.1745
     6        1.2150            -nan     0.1000    0.1476
     7        1.1173            -nan     0.1000    0.1426
     8        1.0244            -nan     0.1000    0.1059
     9        0.9529            -nan     0.1000    0.0871
    10        0.8924            -nan     0.1000    0.0841
    20        0.5019            -nan     0.1000    0.0330
    40        0.2246            -nan     0.1000    0.0068
    60        0.1216            -nan     0.1000    0.0006
    80        0.0734            -nan     0.1000    0.0005
   100        0.0464            -nan     0.1000    0.0002
   120        0.0298            -nan     0.1000   -0.0000
   140        0.0195            -nan     0.1000    0.0001
   150        0.0161            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.8070
     2        1.7932            -nan     0.1000    0.4289
     3        1.5275            -nan     0.1000    0.3010
     4        1.3354            -nan     0.1000    0.2372
     5        1.1899            -nan     0.1000    0.1794
     6        1.0721            -nan     0.1000    0.1288
     7        0.9825            -nan     0.1000    0.1265
     8        0.8963            -nan     0.1000    0.1266
     9        0.8110            -nan     0.1000    0.0951
    10        0.7480            -nan     0.1000    0.0833
    20        0.3762            -nan     0.1000    0.0223
    40        0.1414            -nan     0.1000    0.0020
    60        0.0669            -nan     0.1000    0.0011
    80        0.0338            -nan     0.1000    0.0009
   100        0.0176            -nan     0.1000    0.0003
   120        0.0098            -nan     0.1000    0.0000
   140        0.0054            -nan     0.1000    0.0001
   150        0.0040            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.4571
     2        2.0384            -nan     0.1000    0.2924
     3        1.8754            -nan     0.1000    0.2292
     4        1.7430            -nan     0.1000    0.1727
     5        1.6375            -nan     0.1000    0.1265
     6        1.5512            -nan     0.1000    0.1241
     7        1.4717            -nan     0.1000    0.1010
     8        1.4025            -nan     0.1000    0.0882
     9        1.3384            -nan     0.1000    0.0872
    10        1.2804            -nan     0.1000    0.0737
    20        0.8823            -nan     0.1000    0.0405
    40        0.5146            -nan     0.1000    0.0105
    60        0.3375            -nan     0.1000    0.0032
    80        0.2424            -nan     0.1000    0.0028
   100        0.1755            -nan     0.1000    0.0015
   120        0.1312            -nan     0.1000   -0.0002
   140        0.1006            -nan     0.1000    0.0000
   150        0.0877            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.7012
     2        1.8716            -nan     0.1000    0.4325
     3        1.6154            -nan     0.1000    0.2822
     4        1.4414            -nan     0.1000    0.2096
     5        1.3169            -nan     0.1000    0.1807
     6        1.1960            -nan     0.1000    0.1555
     7        1.0993            -nan     0.1000    0.1299
     8        1.0140            -nan     0.1000    0.1114
     9        0.9420            -nan     0.1000    0.0939
    10        0.8806            -nan     0.1000    0.0960
    20        0.4834            -nan     0.1000    0.0219
    40        0.2223            -nan     0.1000    0.0090
    60        0.1223            -nan     0.1000    0.0017
    80        0.0720            -nan     0.1000    0.0012
   100        0.0446            -nan     0.1000    0.0001
   120        0.0280            -nan     0.1000    0.0003
   140        0.0182            -nan     0.1000    0.0001
   150        0.0149            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        2.3026            -nan     0.1000    0.8232
     2        1.7700            -nan     0.1000    0.3990
     3        1.5202            -nan     0.1000    0.2925
     4        1.3439            -nan     0.1000    0.2543
     5        1.1832            -nan     0.1000    0.2106
     6        1.0499            -nan     0.1000    0.1667
