dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
credit-g,gbm,0.1,1,0.986,0.955,0.045,0.007,0.021
credit-g,gbm,0.2,0.1,0.999,0.997,0.003,0.002,0.006
credit-g,gbm,0.2,0.2,0.998,0.994,0.006,0.003,0.008
credit-g,gbm,0.2,0.25,0.995,0.984,0.016,0.005,0.016
credit-g,gbm,0.2,0.3,0.993,0.978,0.022,0.004,0.014
credit-g,gbm,0.2,0.4,0.991,0.971,0.029,0.004,0.015
credit-g,gbm,0.2,0.5,0.988,0.961,0.039,0.008,0.028
credit-g,gbm,0.2,0.6,0.987,0.958,0.042,0.008,0.028
credit-g,gbm,0.2,0.7,0.983,0.946,0.054,0.006,0.021
credit-g,gbm,0.2,0.75,0.982,0.943,0.057,0.004,0.018
credit-g,gbm,0.2,0.8,0.98,0.936,0.064,0.007,0.026
credit-g,gbm,0.2,0.9,0.976,0.924,0.076,0.007,0.028
credit-g,gbm,0.2,1,0.973,0.914,0.086,0.004,0.021
credit-g,gbm,0.3,0.1,0.996,0.988,0.012,0.004,0.013
credit-g,gbm,0.3,0.2,0.993,0.978,0.022,0.004,0.013
credit-g,gbm,0.3,0.25,0.989,0.966,0.034,0.005,0.014
credit-g,gbm,0.3,0.3,0.988,0.961,0.039,0.004,0.012
credit-g,gbm,0.3,0.4,0.985,0.952,0.048,0.006,0.016
credit-g,gbm,0.3,0.5,0.981,0.94,0.06,0.005,0.011
credit-g,gbm,0.3,0.6,0.98,0.936,0.064,0.006,0.015
credit-g,gbm,0.3,0.7,0.977,0.927,0.073,0.011,0.032
credit-g,gbm,0.3,0.75,0.977,0.927,0.073,0.011,0.032
credit-g,gbm,0.3,0.8,0.976,0.924,0.076,0.011,0.033
credit-g,gbm,0.3,0.9,0.974,0.918,0.082,0.013,0.039
credit-g,gbm,0.3,1,0.972,0.912,0.088,0.015,0.045
credit-g,gcvEarth,0.1,0.1,0.997,0.991,0.009,0.004,0.013
credit-g,gcvEarth,0.1,0.2,0.996,0.989,0.011,0.005,0.016
credit-g,gcvEarth,0.1,0.25,0.995,0.986,0.014,0.005,0.014
credit-g,gcvEarth,0.1,0.3,0.994,0.983,0.017,0.005,0.016
credit-g,gcvEarth,0.1,0.4,0.991,0.974,0.026,0.007,0.022
credit-g,gcvEarth,0.1,0.5,0.989,0.968,0.032,0.007,0.021
credit-g,gcvEarth,0.1,0.6,0.989,0.968,0.032,0.007,0.021
credit-g,gcvEarth,0.1,0.7,0.988,0.965,0.035,0.006,0.016
credit-g,gcvEarth,0.1,0.75,0.987,0.962,0.038,0.008,0.022
credit-g,gcvEarth,0.1,0.8,0.987,0.962,0.038,0.008,0.022
credit-g,gcvEarth,0.1,0.9,0.985,0.956,0.044,0.008,0.023
credit-g,gcvEarth,0.1,1,0.983,0.95,0.05,0.008,0.025
credit-g,gcvEarth,0.2,0.1,0.995,0.986,0.014,0,0.001
credit-g,gcvEarth,0.2,0.2,0.992,0.978,0.022,0.003,0.008
credit-g,gcvEarth,0.2,0.25,0.989,0.969,0.031,0.004,0.012
credit-g,gcvEarth,0.2,0.3,0.988,0.966,0.034,0.006,0.016
credit-g,gcvEarth,0.2,0.4,0.985,0.958,0.042,0.004,0.01
credit-g,gcvEarth,0.2,0.5,0.983,0.951,0.049,0.006,0.019
credit-g,gcvEarth,0.2,0.6,0.978,0.937,0.063,0.006,0.017
credit-g,gcvEarth,0.2,0.7,0.976,0.932,0.068,0.004,0.012
credit-g,gcvEarth,0.2,0.75,0.976,0.932,0.068,0.004,0.012
credit-g,gcvEarth,0.2,0.8,0.972,0.921,0.079,0.008,0.022
credit-g,gcvEarth,0.2,0.9,0.968,0.909,0.091,0.01,0.028
credit-g,gcvEarth,0.2,1,0.966,0.904,0.096,0.011,0.031
credit-g,gcvEarth,0.3,0.1,0.998,0.995,0.005,0.003,0.007
credit-g,gcvEarth,0.3,0.2,0.994,0.984,0.016,0.004,0.011
credit-g,gcvEarth,0.3,0.25,0.992,0.979,0.021,0.006,0.015
credit-g,gcvEarth,0.3,0.3,0.99,0.973,0.027,0.007,0.019
credit-g,gcvEarth,0.3,0.4,0.988,0.968,0.032,0.008,0.022
credit-g,gcvEarth,0.3,0.5,0.986,0.962,0.038,0.01,0.026
credit-g,gcvEarth,0.3,0.6,0.982,0.951,0.049,0.008,0.022
credit-g,gcvEarth,0.3,0.7,0.977,0.937,0.063,0.011,0.029
credit-g,gcvEarth,0.3,0.75,0.974,0.929,0.071,0.011,0.028
credit-g,gcvEarth,0.3,0.8,0.97,0.918,0.082,0.014,0.035
credit-g,gcvEarth,0.3,0.9,0.966,0.907,0.093,0.014,0.036
credit-g,gcvEarth,0.3,1,0.963,0.899,0.101,0.016,0.041
credit-g,knn,0.1,0.1,0.999,0.997,0.003,0.002,0.007
credit-g,knn,0.1,0.2,0.999,0.997,0.003,0.002,0.007
credit-g,knn,0.1,0.25,0.998,0.994,0.006,0.004,0.015
credit-g,knn,0.1,0.3,0.998,0.994,0.006,0.004,0.015
credit-g,knn,0.1,0.4,0.997,0.99,0.01,0.004,0.015
credit-g,knn,0.1,0.5,0.997,0.99,0.01,0.004,0.015
credit-g,knn,0.1,0.6,0.997,0.99,0.01,0.004,0.015
